ID,Basic Information Presence,Letter Length,Inappropriate Keywords,Repetitive Content,Reviewer's Judgment
1,Yes,301,No,No,Good
2,Yes,204,No,No,Good
3,No,467,Yes,Yes,Not Good
4,No,401,No,Yes,Good
5,No,222,Yes,No,Good
6,Yes,311,Yes,No,Not Good
7,Yes,230,No,Yes,Not Good
8,Yes,361,No,No,Good
9,Yes,238,No,No,Good
10,No,380,No,Yes,Not Good
11,No,341,No,No,Good
12,Yes,276,No,No,Good
13,Yes,306,No,No,Good
14,Yes,204,Yes,No,Not Good
15,No,385,No,No,Not Good
16,No,455,Yes,No,Not Good
17,Yes,260,No,Yes,Not Good
18,Yes,457,No,Yes,Good
19,Yes,271,No,No,Good
20,Yes,247,No,No,Good
21,Yes,307,No,No,Good
22,Yes,205,No,No,Good
23,No,300,Yes,No,Not Good
24,Yes,362,No,No,Good
25,Yes,337,No,No,Good
26,No,426,No,No,Good
27,Yes,382,No,No,Good
28,Yes,298,No,Yes,Good
29,No,227,Yes,Yes,Not Good
30,No,302,Yes,No,Not Good
31,No,495,No,Yes,Not Good
32,No,264,No,No,Good
33,Yes,310,No,Yes,Not Good
34,Yes,233,Yes,No,Not Good
35,Yes,327,No,Yes,Good
36,No,206,No,No,Good
37,Yes,469,Yes,Yes,Not Good
38,No,495,Yes,No,Not Good
39,No,464,Yes,Yes,Not Good
40,Yes,426,Yes,No,Not Good
41,Yes,341,No,No,Good
42,Yes,497,Yes,No,Not Good
43,No,414,No,No,Good
44,No,325,No,No,Good
45,Yes,229,Yes,Yes,Not Good
46,Yes,219,No,No,Good
47,Yes,406,Yes,No,Good
48,Yes,456,No,No,Good
49,Yes,499,No,No,Good
50,No,298,Yes,No,Good
51,Yes,477,No,No,Good
52,No,463,No,Yes,Not Good
53,Yes,323,No,Yes,Good
54,No,494,No,No,Not Good
55,No,386,No,Yes,Not Good
56,Yes,331,No,Yes,Good
57,No,465,No,Yes,Not Good
58,Yes,252,No,Yes,Good
59,Yes,273,No,No,Good
60,Yes,212,No,Yes,Good
61,No,454,No,No,Good
62,Yes,307,No,No,Not Good
63,Yes,398,No,Yes,Not Good
64,Yes,354,No,No,Good
65,Yes,479,No,No,Good
66,Yes,453,Yes,Yes,Not Good
67,Yes,208,Yes,No,Good
68,No,272,No,No,Good
69,Yes,325,No,No,Not Good
70,Yes,317,No,No,Not Good
71,Yes,366,Yes,No,Not Good
72,No,298,No,No,Good
73,No,239,Yes,Yes,Not Good
74,Yes,478,No,No,Not Good
75,Yes,408,No,Yes,Not Good
76,Yes,363,Yes,No,Not Good
77,Yes,461,No,No,Not Good
78,Yes,353,No,Yes,Not Good
79,Yes,413,No,No,Good
80,No,406,Yes,No,Not Good
81,Yes,220,No,Yes,Good
82,Yes,406,No,No,Good
83,No,339,No,No,Not Good
84,Yes,470,No,No,Good
85,Yes,378,Yes,No,Not Good
86,No,453,No,No,Good
87,Yes,434,No,Yes,Good
88,Yes,259,No,No,Good
89,Yes,284,No,No,Good
90,No,423,Yes,No,Not Good
91,Yes,413,No,Yes,Not Good
92,No,424,No,Yes,Good
93,No,250,No,No,Not Good
94,No,360,No,Yes,Not Good
95,No,232,No,No,Good
96,No,240,No,Yes,Good
97,No,385,No,No,Not Good
98,Yes,484,Yes,No,Good
99,Yes,209,No,Yes,Good
100,No,439,Yes,No,Not Good
101,No,288,Yes,Yes,Not Good
102,Yes,299,Yes,No,Not Good
103,Yes,230,No,No,Good
104,Yes,371,Yes,No,Good
105,No,368,No,No,Good
106,No,425,Yes,No,Not Good
107,No,203,No,Yes,Not Good
108,Yes,477,No,No,Not Good
109,No,321,No,No,Good
110,Yes,276,Yes,Yes,Good
111,Yes,395,No,No,Good
112,No,303,Yes,No,Not Good
113,Yes,477,Yes,No,Not Good
114,Yes,418,Yes,No,Good
115,Yes,466,Yes,No,Good
116,Yes,427,No,No,Not Good
117,Yes,489,No,No,Not Good
118,Yes,457,No,Yes,Good
119,Yes,305,No,No,Not Good
120,Yes,492,No,No,Good
121,No,481,No,Yes,Good
122,Yes,279,No,No,Good
123,Yes,443,Yes,No,Good
124,Yes,424,Yes,Yes,Not Good
125,Yes,463,No,Yes,Good
126,No,282,Yes,Yes,Not Good
127,Yes,294,No,No,Good
128,No,262,No,Yes,Not Good
129,No,459,No,No,Not Good
130,Yes,328,Yes,No,Not Good
131,No,391,No,No,Not Good
132,Yes,364,No,No,Good
133,No,379,Yes,No,Not Good
134,Yes,220,Yes,No,Good
135,No,458,No,No,Good
136,No,237,No,No,Not Good
137,Yes,342,No,No,Good
138,No,222,No,No,Good
139,Yes,440,Yes,No,Good
140,Yes,254,Yes,No,Not Good
141,No,456,No,No,Good
142,No,203,No,No,Good
143,Yes,449,No,Yes,Not Good
144,Yes,269,No,No,Good
145,Yes,351,No,No,Good
146,Yes,499,Yes,Yes,Not Good
147,Yes,449,No,No,Not Good
148,Yes,425,No,Yes,Good
149,Yes,347,No,No,Good
150,Yes,225,No,Yes,Good
151,No,314,No,Yes,Not Good
152,No,440,No,Yes,Good
153,Yes,270,No,No,Good
154,No,224,No,No,Good
155,No,495,No,No,Good
156,No,343,No,No,Good
157,No,377,Yes,No,Not Good
158,Yes,416,No,Yes,Good
159,Yes,223,No,Yes,Good
160,No,371,No,Yes,Not Good
161,No,468,Yes,No,Not Good
162,Yes,453,No,No,Good
163,No,204,No,No,Good
164,Yes,202,Yes,No,Good
165,No,299,Yes,No,Good
166,No,348,No,No,Good
167,No,397,No,No,Not Good
168,Yes,478,No,Yes,Good
169,Yes,383,No,Yes,Good
170,Yes,274,No,Yes,Not Good
171,Yes,232,No,No,Good
172,Yes,484,No,No,Not Good
173,Yes,211,No,No,Not Good
174,Yes,433,No,Yes,Good
175,Yes,220,No,Yes,Good
176,Yes,409,No,No,Good
177,Yes,465,No,No,Good
178,No,434,Yes,No,Not Good
179,Yes,445,Yes,Yes,Not Good
180,No,297,No,Yes,Not Good
181,Yes,418,No,No,Good
182,Yes,275,No,No,Good
183,Yes,275,Yes,No,Good
184,Yes,405,No,Yes,Not Good
185,Yes,377,No,Yes,Good
186,No,480,No,No,Good
187,No,405,No,No,Not Good
188,Yes,373,No,No,Not Good
189,No,425,No,No,Not Good
190,Yes,402,No,No,Good
191,Yes,233,No,No,Good
192,No,354,No,No,Not Good
193,No,447,No,No,Good
194,No,272,No,No,Not Good
195,No,380,No,No,Good
196,Yes,354,No,No,Not Good
197,Yes,304,No,Yes,Good
198,Yes,416,No,No,Good
199,No,419,No,Yes,Not Good
200,Yes,484,No,No,Good
201,Yes,242,No,Yes,Good
202,No,482,No,No,Good
203,No,485,No,No,Not Good
204,Yes,266,Yes,No,Not Good
205,Yes,493,No,Yes,Good
206,No,479,No,No,Good
207,Yes,498,No,No,Good
208,No,352,Yes,No,Not Good
209,No,484,No,No,Not Good
210,Yes,240,No,No,Good
211,No,403,No,No,Not Good
212,Yes,334,No,No,Good
213,Yes,284,No,No,Not Good
214,Yes,356,Yes,No,Good
215,No,339,No,Yes,Good
216,Yes,381,No,No,Good
217,Yes,264,No,Yes,Good
218,Yes,443,Yes,Yes,Not Good
219,Yes,456,No,No,Good
220,Yes,441,No,No,Not Good
221,Yes,431,No,Yes,Good
222,Yes,405,No,Yes,Good
223,No,440,Yes,No,Not Good
224,No,242,No,Yes,Good
225,Yes,212,Yes,No,Not Good
226,Yes,457,Yes,No,Not Good
227,No,477,No,Yes,Not Good
228,No,213,No,No,Not Good
229,Yes,255,No,Yes,Not Good
230,Yes,365,Yes,No,Good
231,Yes,337,Yes,No,Not Good
232,No,261,No,No,Good
233,Yes,224,No,No,Not Good
234,Yes,204,No,No,Good
235,Yes,257,No,No,Good
236,No,458,No,Yes,Good
237,Yes,314,No,No,Not Good
238,Yes,333,No,No,Good
239,Yes,226,No,No,Not Good
240,Yes,408,No,Yes,Good
241,No,227,No,No,Not Good
242,Yes,201,No,Yes,Good
243,No,330,No,Yes,Not Good
244,Yes,422,No,No,Good
245,No,403,Yes,No,Not Good
246,Yes,372,Yes,No,Good
247,No,291,Yes,Yes,Not Good
248,No,341,No,No,Not Good
249,Yes,455,No,Yes,Good
250,Yes,220,Yes,Yes,Not Good
251,Yes,203,No,No,Good
252,No,378,No,No,Good
253,Yes,440,No,No,Not Good
254,Yes,371,Yes,No,Good
255,No,390,Yes,No,Not Good
256,No,273,Yes,No,Good
257,No,277,Yes,No,Not Good
258,Yes,425,No,Yes,Good
259,Yes,235,No,No,Good
260,Yes,340,No,Yes,Not Good
261,Yes,320,No,Yes,Good
262,Yes,330,No,No,Good
263,Yes,325,Yes,No,Not Good
264,Yes,479,Yes,No,Good
265,No,298,No,No,Good
266,Yes,337,No,No,Good
267,No,451,No,No,Not Good
268,No,474,No,No,Good
269,Yes,442,No,No,Not Good
270,Yes,407,No,No,Not Good
271,No,367,Yes,No,Not Good
272,Yes,348,No,No,Not Good
273,Yes,462,Yes,No,Not Good
274,Yes,378,Yes,No,Not Good
275,Yes,444,No,No,Good
276,Yes,439,No,No,Good
277,No,437,Yes,No,Good
278,Yes,345,No,No,Good
279,Yes,406,Yes,No,Good
280,Yes,487,No,Yes,Good
281,Yes,311,No,Yes,Not Good
282,Yes,491,No,No,Good
283,Yes,266,No,Yes,Good
284,Yes,239,No,No,Good
285,No,420,No,No,Not Good
286,Yes,471,Yes,Yes,Not Good
287,No,418,No,Yes,Good
288,Yes,235,Yes,No,Not Good
289,No,336,No,No,Good
290,No,367,No,Yes,Good
291,No,291,No,Yes,Not Good
292,Yes,284,No,No,Not Good
293,Yes,461,Yes,No,Not Good
294,No,465,No,Yes,Good
295,No,218,No,No,Good
296,Yes,203,No,No,Good
297,Yes,495,No,No,Good
298,No,206,Yes,No,Not Good
299,Yes,358,No,Yes,Not Good
300,No,495,No,No,Not Good
301,No,206,Yes,No,Good
302,Yes,230,No,No,Good
303,Yes,408,Yes,No,Good
304,Yes,296,No,No,Good
305,Yes,374,No,No,Good
306,No,359,No,No,Not Good
307,Yes,408,Yes,Yes,Good
308,Yes,237,No,No,Good
309,Yes,421,No,No,Good
310,Yes,431,No,No,Good
311,Yes,290,No,Yes,Good
312,Yes,387,No,Yes,Good
313,No,264,No,No,Good
314,Yes,206,Yes,No,Not Good
315,No,373,No,Yes,Not Good
316,Yes,237,No,No,Good
317,Yes,366,No,No,Good
318,Yes,300,No,No,Good
319,Yes,297,Yes,No,Good
320,No,247,Yes,No,Not Good
321,Yes,379,No,No,Good
322,Yes,463,No,No,Good
323,No,248,No,No,Not Good
324,No,247,No,Yes,Not Good
325,Yes,408,Yes,Yes,Not Good
326,Yes,322,Yes,No,Not Good
327,Yes,352,No,No,Not Good
328,Yes,372,Yes,No,Good
329,No,449,No,Yes,Not Good
330,No,241,No,No,Good
331,No,318,No,No,Good
332,Yes,300,Yes,Yes,Not Good
333,Yes,471,No,Yes,Not Good
334,No,327,Yes,No,Not Good
335,Yes,413,Yes,No,Not Good
336,Yes,209,Yes,Yes,Good
337,Yes,279,No,No,Good
338,Yes,234,Yes,No,Not Good
339,Yes,282,No,No,Good
340,No,392,No,No,Good
341,No,474,No,No,Good
342,Yes,493,No,No,Good
343,Yes,365,Yes,No,Good
344,No,387,No,Yes,Good
345,No,429,No,No,Not Good
346,Yes,500,No,No,Good
347,No,467,No,Yes,Not Good
348,Yes,422,No,No,Good
349,No,234,Yes,Yes,Not Good
350,Yes,205,No,Yes,Good
351,No,361,Yes,No,Not Good
352,Yes,364,No,No,Not Good
353,Yes,416,No,No,Good
354,Yes,251,Yes,No,Good
355,No,245,No,No,Good
356,No,386,No,No,Good
357,No,474,No,Yes,Good
358,Yes,459,No,No,Good
359,Yes,480,No,No,Good
360,No,360,Yes,No,Not Good
361,Yes,243,Yes,No,Good
362,Yes,306,No,No,Good
363,Yes,385,No,No,Not Good
364,No,255,No,No,Good
365,No,274,No,Yes,Good
366,No,304,No,No,Good
367,Yes,221,No,No,Good
368,No,290,No,No,Not Good
369,No,253,No,No,Not Good
370,No,237,No,No,Not Good
371,No,358,Yes,Yes,Not Good
372,Yes,322,No,No,Good
373,No,207,No,No,Not Good
374,No,458,No,No,Good
375,No,428,No,No,Good
376,Yes,296,No,No,Good
377,No,240,Yes,No,Not Good
378,No,485,No,Yes,Not Good
379,No,246,No,Yes,Good
380,Yes,344,No,No,Not Good
381,Yes,455,No,No,Good
382,Yes,329,Yes,No,Good
383,Yes,263,No,No,Good
384,Yes,397,Yes,No,Not Good
385,Yes,409,No,No,Good
386,Yes,465,No,No,Good
387,No,211,No,No,Not Good
388,No,493,No,Yes,Good
389,Yes,200,No,No,Good
390,Yes,417,Yes,No,Not Good
391,No,470,Yes,Yes,Not Good
392,Yes,341,No,Yes,Not Good
393,No,483,No,No,Good
394,No,308,No,No,Not Good
395,Yes,257,Yes,No,Good
396,No,279,No,No,Good
397,Yes,267,Yes,Yes,Not Good
398,Yes,489,No,Yes,Not Good
399,Yes,290,No,No,Good
400,Yes,369,No,No,Good
401,Yes,479,No,No,Good
402,Yes,280,No,Yes,Not Good
403,Yes,231,No,Yes,Good
404,Yes,458,Yes,Yes,Not Good
405,Yes,381,No,No,Good
406,No,204,No,No,Not Good
407,Yes,330,No,Yes,Good
408,Yes,460,No,No,Good
409,Yes,453,No,Yes,Not Good
410,Yes,215,No,Yes,Not Good
411,Yes,310,No,No,Good
412,Yes,238,No,No,Not Good
413,Yes,216,No,No,Good
414,No,314,No,No,Good
415,Yes,263,No,No,Good
416,Yes,304,Yes,No,Not Good
417,Yes,434,No,No,Not Good
418,Yes,439,No,Yes,Not Good
419,Yes,315,Yes,No,Good
420,Yes,442,Yes,No,Good
421,No,279,No,Yes,Good
422,Yes,442,No,No,Good
423,Yes,318,No,Yes,Not Good
424,No,420,No,No,Good
425,No,260,No,No,Not Good
426,No,383,No,Yes,Not Good
427,No,348,No,No,Good
428,Yes,452,Yes,Yes,Not Good
429,No,215,No,No,Not Good
430,Yes,215,No,Yes,Good
431,Yes,203,No,Yes,Not Good
432,Yes,264,No,No,Good
433,Yes,443,Yes,No,Not Good
434,No,325,Yes,No,Not Good
435,Yes,446,No,No,Not Good
436,Yes,500,Yes,No,Not Good
437,Yes,252,Yes,No,Good
438,No,380,No,Yes,Not Good
439,No,488,Yes,No,Not Good
